,Street Address,Zip,City,State,full_address
69,901 Market St,19107-3111,Philadelphia,PA,"901 Market St, Philadelphia, PA, 19107-3111"
70,927 Levick St,19111-5421,Philadelphia,PA,"927 Levick St, Philadelphia, PA, 19111-5421"
71,3250 Red Lion Road,19114,Philadelphia,PA,"3250 Red Lion Road, Philadelphia, PA, 19114"
72,1701 Welsh Road,19115,Philadelphia,PA,"1701 Welsh Road, Philadelphia, PA, 19115"
73,1100 West Girard Avenue,19123,Philadelphia,PA,"1100 West Girard Avenue, Philadelphia, PA, 19123"
74,700 E Hunting Park Ave,19124-4827,Philadelphia,PA,"700 E Hunting Park Ave, Philadelphia, PA, 19124-4827"
75,3668 Aramingo Avenue,19134,Philadelphia,PA,"3668 Aramingo Avenue, Philadelphia, PA, 19134"
76,2400 W Passyunk Ave,19145-4114,Philadelphia,PA,"2400 W Passyunk Ave, Philadelphia, PA, 19145-4114"
77,2895 Grays Ferry Avenue,19146,Philadelphia,PA,"2895 Grays Ferry Avenue, Philadelphia, PA, 19146"
78,424 W Oregon Ave,19148-4605,Philadelphia,PA,"424 W Oregon Ave, Philadelphia, PA, 19148-4605"
79,3000 Island Ave,19153-2022,Philadelphia,PA,"3000 Island Ave, Philadelphia, PA, 19153-2022"
80,2501 Island Ave,19153-2210,Philadelphia,PA,"2501 Island Ave, Philadelphia, PA, 19153-2210"
