,Store Name,Address,Zip,New status,Last updated,Location
0,Cermak Produce,4000 West Diversey Ave,60647,OPEN,06/04/2020 03:00:00 PM,
1,Jewel - Osco,2520 N Narragansett Ave,60639,OPEN,06/03/2020 05:00:00 PM,POINT (-87.785559 41.926236)
2,Mariano's Fresh Market,40 S Halsted St,60661,OPEN,,POINT (-87.647384 41.880557)
3,Mariano's Fresh Market,3145 South Ashland Ave,60608,OPEN,06/05/2020 01:21:00 PM,POINT (-87.66563800000002 41.836512)
4,Aldi,7800 S South Chicago Ave,60619,OPEN,06/05/2020 01:21:00 PM,POINT (-87.587472 41.752778)
5,Food 4 Less,7030 S Ashland Ave,60636,OPEN,06/05/2020 01:21:00 PM,POINT (-87.663901 41.765174)
6,Whole Foods Market,1 N Halsted St,60661,OPEN,06/04/2020 03:00:00 PM,POINT (-87.647331 41.882501)
7,Ted's Fresh Market,2840 W Devon Ave,60645,OPEN,06/04/2020 03:00:00 PM,POINT (-87.701088 41.99753)
8,Aldi,4645 W. Diversy Ave,60639,OPEN,06/10/2020 12:00:00 AM,POINT (-87.743743 41.931592)
9,Foodsmart,3415 W Diversey Ave,60647,OPEN,06/04/2020 03:00:00 PM,POINT (-87.712866 41.931959)
10,Shop & Save Market,6312 N Nagle Ave,60646,OPEN,06/04/2020 03:00:00 PM,POINT (-87.787504 41.996164)
11,La Cienega Super Food,10736 S EWING AVE,60617,OPEN,06/10/2020 12:00:00 AM,POINT (-87.535294 41.699723)
12,Chicago Produce,3500 W Lawrence Ave,60625,OPEN,06/04/2020 03:00:00 PM,POINT (-87.715926 41.968373)
13,Paulina Super Market,7622 N Paulina St,60626,OPEN,06/05/2020 01:21:00 PM,POINT (-87.673098 42.020029)
14,Save A Lot,5555 W North Ave,60639,OPEN,06/05/2020 01:21:00 PM,POINT (-87.765278 41.90935000000001)
15,Food 4 Less,112 W 87Th St Ste G1,60620,OPEN,06/05/2020 01:21:00 PM,POINT (-87.628203 41.736274)
16,Fresh Marketplace,2134 N Western Ave,60647,OPEN,06/04/2020 03:00:00 PM,POINT (-87.68756200000001 41.920967000000005)
17,Aldi,4030 W Wrightwood Ave,60639,OPEN,06/04/2020 03:00:00 PM,POINT (-87.728091 41.928127)
18,Pete's Fresh Market,4343 S Pulaski Rd.,60632,OPEN,06/04/2020 03:00:00 PM,POINT (-87.723709 41.813795)
19,Walmart Neighborhood Market,4720 S Cottage Grove Ave,60615,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.606539 41.80867)
20,Fresh Marketplace,5020 W Fullerton Ave,60639,OPEN,06/04/2020 03:00:00 PM,POINT (-87.75198 41.924229)
21,Aldi,1753 N Milwaukee Ave,60647,OPEN,06/04/2020 03:00:00 PM,POINT (-87.681868 41.913241)
22,Costco,1430 S Ashland Ave,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.666318 41.862387)
23,Target,1664 W Division St,60622,OPEN,06/10/2020 12:00:00 AM,POINT (-87.670037 41.90332)
24,Morse Fresh Market,1430 W MORSE AVE,60626,OPEN,06/10/2020 12:00:00 AM,POINT (-87.667272 42.007928)
25,Jewel - Osco,87 W 87th St,60620,OPEN,06/03/2020 05:00:00 PM,POINT (-87.626243 41.736172)
26,Local Market,2101 E 71ST ST,60649,OPEN,06/10/2020 12:00:00 AM,POINT (-87.574498 41.766083)
27,Target,1200 N Larrabee St,60610,OPEN,06/05/2020 01:21:00 PM,POINT (-87.643205 41.903741)
28,Aldi,5001 N Pulaski Rd,60630,OPEN,,POINT (-87.728134 41.972832)
29,Aldi,3320 W Belmont Ave,60618,OPEN,06/04/2020 03:00:00 PM,POINT (-87.710816 41.939357)
30,Farm on Ogden,3555 W OGDEN AVE,60623,OPEN,06/10/2020 12:00:00 AM,POINT (-87.71437 41.854608)
31,Jewel - Osco,5343 N Broadway St,60640,OPEN,06/03/2020 05:00:00 PM,POINT (-87.659887 41.978998)
32,International Foods NW,4404 W FULLERTON AVE,60639,OPEN,06/10/2020 12:00:00 AM,POINT (-87.737127 41.924425)
33,Old World Market,5129 N BROADWAY,60640,OPEN,06/10/2020 12:00:00 AM,POINT (-87.65979300000001 41.975531)
34,Jewel - Osco,1340 S Canal St,60607,OPEN,06/03/2020 05:00:00 PM,POINT (-87.639156 41.864386)
35,Park to Shop Supermarket Canal,1835 S CANAL ST,60616,OPEN,06/10/2020 12:00:00 AM,POINT (-87.638889 41.856363)
36,Jewel - Osco,2940 N Ashland Ave,60657,OPEN,06/03/2020 05:00:00 PM,POINT (-87.66857 41.93556)
37,La Merced,4335 W 26TH ST,60623,OPEN,06/10/2020 12:00:00 AM,POINT (-87.732431 41.844143)
38,Aldi,6621 S Cottage Grove Ave,60637,OPEN,06/05/2020 01:21:00 PM,POINT (-87.6058 41.774139000000005)
39,Fairplay Neighborhood Market,2200 S Western Ave.,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.685717 41.851983)
40,Fresh Farms,2626 W Devon Ave,60659,OPEN,06/04/2020 03:00:00 PM,POINT (-87.695711 41.997625)
41,Jewel - Osco,9400 S Ashland Ave,60620,OPEN,06/03/2020 05:00:00 PM,POINT (-87.662811 41.723015)
42,Aldi,1508 W 47th St,60609,OPEN,06/05/2020 01:21:00 PM,POINT (-87.662937 41.808677)
43,Aldi,6221 N Broadway St,60660,OPEN,06/04/2020 03:00:00 PM,POINT (-87.660357 41.995236)
44,Carnival Grocery & Liquor,458 W Dickens Ave,60614,OPEN,06/05/2020 01:21:00 PM,POINT (-87.640843 41.920154)
45,Food 4 Less,4821 W North Ave,60639,OPEN,06/05/2020 01:21:00 PM,POINT (-87.747691 41.909574)
46,Whole Foods Market,6020 N Cicero Ave,60646,OPEN,06/04/2020 03:00:00 PM,POINT (-87.748332 41.990481)
47,Walmart,8331 S Stewart Ave,60620,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.634052 41.740814)
48,Target,3300 N Ashland Ave,60657,OPEN,06/05/2020 01:21:00 PM,POINT (-87.66875400000002 41.941143)
49,Supermercado Chapala,7117 N CLARK ST,60626,OPEN,06/10/2020 12:00:00 AM,POINT (-87.674552 42.012)
